campaign_id,campaign_name,platform,industry,country,date,impressions,clicks,spend_usd,conversions,revenue,roas,ctr,cpc,cpa
Video_Fintech,Video - Fintech,Meta Ads,Fintech,USA,2024-08-14,118252.0,3748.0,1574.16,152,12838.56,8.16,0.0317,0.42,10.36
Display_Edtech,Display - Edtech,Meta Ads,EdTech,Germany,2024-04-17,30939.0,937.0,552.83,63,16531.03,29.9,0.0303,0.59,8.78
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,UAE,2024-04-22,98264.0,3144.0,4904.64,129,23127.27,4.72,0.032,1.56,38.02
Video_Fintech,Video - Fintech,Meta Ads,Fintech,Canada,2024-09-11,173229.0,5092.0,8758.24,65,12320.17,1.41,0.0294,1.72,134.74
Video_Saas,Video - Saas,Meta Ads,SaaS,Canada,2024-05-26,147483.0,2138.0,1218.66,159,42434.18,34.82,0.0145,0.57,7.66
Video_Saas,Video - Saas,Meta Ads,SaaS,Canada,2024-12-25,187957.0,4586.0,9630.6,271,34433.97,3.58,0.0244,2.1,35.54
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,USA,2024-07-04,185798.0,5889.0,5300.1,400,41326.63,7.8,0.0317,0.9,13.25
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,India,2024-12-14,195710.0,4481.0,2374.93,352,27223.39,11.46,0.0229,0.53,6.75
Shopping_Saas,Shopping - Saas,Meta Ads,SaaS,USA,2024-06-08,196962.0,5081.0,10466.86,282,24196.95,2.31,0.0258,2.06,37.12
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,Canada,2024-12-26,191141.0,4453.0,5477.19,72,8367.46,1.53,0.0233,1.23,76.07
Display_Fintech,Display - Fintech,Meta Ads,Fintech,UAE,2024-11-16,,,,193,28429.29,4.87,0.0301,1.0,30.24
Video_E-Commerce,Video - E-Commerce,Meta Ads,E-commerce,Canada,2024-01-12,104657.0,4029.0,2860.59,204,10401.62,3.64,0.0385,0.71,14.02
Search_Healthcare,Search - Healthcare,Meta Ads,Healthcare,Australia,2024-01-06,17763.0,726.0,1408.44,30,1946.19,1.38,0.0409,1.94,46.95
Shopping_Healthcare,Shopping - Healthcare,Meta Ads,Healthcare,UAE,2024-03-06,58682.0,1748.0,2604.52,84,12746.65,4.89,0.0298,1.49,31.01
Shopping_Fintech,Shopping - Fintech,Meta Ads,Fintech,UAE,2024-08-16,164096.0,1919.0,1266.54,139,7181.17,5.67,0.0117,0.66,9.11
